# BOM sourcing — TME (tme.eu) — Primary EU distributor (Czech Republic)
# REST API: https://api.tme.eu
# Updated: 2026-02-20
# Format: Ref,QtyTotal,MfrPartNo,TMESymbol,Description,Package,UnitPriceEUR,Notes
#
# TODO: populate stock/price from TME REST API (GET /Products/Search)

Ref,QtyTotal,MfrPartNo,TMESymbol,Description,Package,UnitPriceEUR,Notes
U1,1,STM32H743ZIT6,STM32H743ZIT6TR,MCU Cortex-M7 480MHz 2MB Flash,LQFP-144,,Check TME stock
U2,1,ES9038Q2M,ES9038Q2M,Hi-Fi DAC 32-bit/768kHz,TSSOP-28,,Source Digi-Key if TME unavailable
U3,1,TPA6120A2RGYR,TPA6120A2RGYR,Headphone Amp ±5V class-AB CFA,VQFN-14,,Source Digi-Key/Mouser if TME unavailable
U4,1,LT3042EMSE#PBF,LT3042EMSE,Ultra-LN LDO 3.3V 200mA AVDD,MSOP-8E,,Source Digi-Key if TME unavailable
U5,1,BQ25895RTWT,BQ25895RTWT,USB-C PMIC LiPo charger,WQFN-24,,Check TI/TME stock
U6,1,STM32WB55RGV6TR,STM32WB55RGV6TR,BLE 5.0 co-processor Cortex-M4+M0,VFQFPN-68,,Check TME stock
U7,1,W25Q128JVSIQ,W25Q128JVSIQ,QSPI NOR Flash 128Mbit,SOIC-8,,Check TME stock
U8,1,W9825G6KH-6,W9825G6KH-6,SDRAM 256Mbit 16-bit FMC,TSOP-II-54,,May need Digi-Key/Mouser
U9,1,AP2112K-3.3TRG1,AP2112K-3.3TRG1,LDO 3.3V 600mA SYS→3V3,SOT-25,,Common; check TME
J1,1,GDEM0397T81P,GDEM0397T81P,3.97in 800x480 e-ink module,Module,,Direct: Good Display (buy@e-ink-display.com)
J2,1,FH12-24S-0.5SH(55),FH12-24S-0.5SH(55),FPC ZIF 24-pin 0.5mm bottom-contact,SMD,,Hirose; check TME/Digi-Key
D1,1,MBR0530T1G,MBR0530T1G,Schottky rectifier 30V 500mA (display boost D1),SOD-123,,ON Semi; check TME
D2,1,MBR0530T1G,MBR0530T1G,Schottky rectifier 30V 500mA (display boost D2),SOD-123,,ON Semi; same p/n as D1
Q1,1,SI1308EDL-T1-GE3,SI1308EDL-T1-GE3,N-ch MOSFET 30V 1.5A (display boost switch),SOT-23,,Vishay Siliconix; check TME
TVS1,1,PESD5V0L5UY,PESD5V0L5UY,ESD array 5-ch 5V VRWM (SPI/ctrl lines),SOT-363,,Nexperia; TME: PESD5V0L5UY,115
TVS2,1,PESD5V0L5UY,PESD5V0L5UY,ESD array 5-ch 5V VRWM (BUSY line),SOT-363,,Nexperia; same p/n as TVS1
